objectid,identifier,filename,title,date,description,subject,location,type,format,medium,rights
rls011,rls011,childhood with family.jpg,Photograph of Russell with parents and brother,1930,"Black-and-white photograph of Russell (left), age 8 or 9, on a boardwalk at the Jersey Shore, with his mother Amelia Steinle (née Wizemann), brother Walter Steinle Jr., and father Walter Steinle Sr. The beach is behind them. Russell, his brother, and father are all wearing newsboy caps, shirts and ties, sweaters, short pants, high socks and shoes. His mother is wearing a brimmed hat, a coat over a knee-length dress, stockings, and high heeled ankle boots.",Childhood & youth; Families,New Jersey,Image,image/jpeg,Photographs,
rls013,rls013,easter with family.jpg,"Photograph of Russell with parents, wife, and children on Easter",1953,"Black-and-white photograph of Russell (left) with his family. They are outside and dressed for Easter. Seated from left to right is his step-father Theophilus DeCorte, mother Amelia Steinle (née Wizemann), and wife Estelle Steinle (née Shannon). Standing in the middle is his daughter Barbara Steinle (later Barbara Nostrand), age four. And seated on Estelle's lap is his son Rusell Joseph Steinle, age two.",Families;Spouses,"Staten Island, New York",Image,image/jpeg,Photographs,
rls014,rls014,police car.jpg,Photograph of Russell in NYPD car,1946,"Black-and-white photograph of Russell, wearing his police uniform, sitting in the driver's seat of an open-top New York City Police Department Emergency Service Unit truck.",Police,,Image,image/jpeg,Photographs,
rls015,rls015,police collage.jpg,Police collage,1953,"Collage created by Russell. Background is a typewritten police record from March 1, 1953. Atop it is a black-and-white photo of Russell from the chest up, wearing his police jacket.",Police,,Image,image/jpeg,Collages,
rls016,rls016,police hat.jpeg,NYPD uniform hat,1970,"Color photograph (taken in 2021) of Russell's New York City Police Department hat. It is made of navy blue fabric, and has a black brim and accents. On the front of the hat is the metal crest of the NYPD with Russell's number, ""5729"", below it.",Police,,Image,image/jpeg,Clothing & dress,https://creativecommons.org/publicdomain/zero/1.0/
rls017,rls017,police jacket.jpeg,NYPD uniform jacket,1970,"Color photograph (taken in 2021) of Russell's New York City Police Department jacket. It is made of navy blue fabric with gold-colored buttons and a green lining. On the right-hand side, there is a NYPD patch on the upper arm, and a name tag that reads ""STEINLE"" above the breast pocket. On the left-hand side, there is a NYPD Emergency Service Unit patch on the upper arm, and Russell's assorted badges are above the breast pocket.",Police,,Image,image/jpeg,Clothing & dress,https://creativecommons.org/publicdomain/zero/1.0/
rls018,rls018,police news twa.jpg,TWA crash newspaper clipping,1960-12-16,"Newspaper clipping of a black-and-white photo from The Staten Island Advance, dated December 16, 1960. The photo shows approximately four emergency workers, including Russell (front, second from right, with his back to the camera, and his shoulder obscuring the bottom of his face,) carrying a body on a stretcher at Miller Field in Staten Island, New York, following a mid-air collision of two airplanes near LaGuardia Airport. About four other people are standing in the background of the photo. The text above the photo is partially torn off, and reads ""[...] of a TWA Constellation airliner at Milller Field after the worst air collision in the nation's [history]."" The text below the photo reads, ""The body of one of 44 victims aboard the TWA is carried from the scene."" In total, 134 people died in the crash, including several people on the ground.",Police,"Staten Island, New York",Text,image/jpeg,Clippings,
rls019,rls019,police retirement.jpg,Police retirement record,1981-10-15,"Half-sheet of paper cotaining a typewritten Order of Retirement from the New York City Police Department, dated October 15, 1981. Russell joined the NYPD on September 21, 1946. His final day was November 11, 1981.",Police,,Text,image/jpeg,Documents,
rls020,rls020,wedding photo.jpg,Wedding portrait,1945-07-29,"Black-and-white full-length wedding portrait of Russell and Estelle Steinle (née Shannon). Russell is wearing his Army uniform, and Estelle is wearing a white gown and veil, and she is holding a bouquet.",Weddings; Spouses,"Staten Island, New York",Image,image/jpeg,Photographs,
rls021,rls021,young high school photo.jpg,Portrait of Russell in high school,1938,"Black-and-white high school portrait of Russell from the shoulders up, wearing a coat and tie.",Childhood & youth; Schools,"Staten Island, New York",Image,image/jpeg,Photographs,
rls022,rls022,young with estelle.jpg,Photograph of Russell and Estelle dating,1940,"Black-and-white photograph of Russell with Estelle Shannon (later his wife, Estelle Steinle), smiling and standing in front of a car.",Childhood & youth; Spouses,"Staten Island, New York",Image,image/jpeg,Photographs,
